iter	Passed	Remaining
0	1215	1213860
1	2143	1069709
2	3102	1031065
3	4108	1022990
4	5197	1034385
5	6211	1029007
6	7267	1030968
7	8305	1029872
8	9258	1019516
9	10230	1012776
10	11283	1014519
11	12312	1013710
12	13230	1004498
13	14173	998227
14	15179	996812
15	16213	997104
16	17256	997816
17	18153	990381
18	19123	987373
19	20116	985699
20	21183	987538
21	22173	985699
22	23197	985388
23	24259	986571
24	25320	987490
25	26343	986870
26	27282	983163
27	28330	983486
28	29245	979233
29	30342	981076
30	31301	978434
31	32439	981283
32	33478	981027
33	34562	981970
34	35649	982918
35	36698	982713
36	37670	980449
37	38640	978212
38	39700	978262
39	40751	978024
40	41862	979170
41	43028	981454
42	44092	981317
43	45268	983552
44	46301	982620
45	47420	983462
46	48417	981732
47	49609	983911
48	50847	986861
49	51962	987283
50	52936	985041
51	54050	985380
52	55181	985983
53	56393	987930
54	57306	984631
55	58360	983790
56	59577	985634
57	60717	986136
58	61733	984592
59	62936	986004
60	63920	983948
61	64977	983053
62	65976	981266
63	67010	980030
64	68185	980823
65	69185	979080
66	70070	975755
67	71152	975213
68	72226	974539
69	73347	974468
70	74409	973605
71	75495	973057
72	76519	971694
73	77801	973570
74	78828	972219
75	79884	971228
76	80946	970303
77	81871	967764
78	83086	968640
79	84066	966762
80	84997	964351
81	86063	963495
82	87156	962922
83	88320	963116
84	89279	961063
85	90331	960033
86	91334	958492
87	92314	956710
88	93136	953336
89	94220	952676
90	95241	951368
91	96240	949849
92	97241	948367
93	98219	946669
94	99113	944186
95	99993	941604
96	100866	938995
97	101772	936718
98	102762	935245
99	103703	933333
100	104764	932503
101	105833	931746
102	106763	929774
103	107912	929704
104	108976	928892
105	110054	928198
106	111033	926660
107	111928	924448
108	112791	921994
109	113730	920184
110	114693	918581
111	115541	916076
112	116452	914099
113	117402	912443
114	118337	910684
115	119264	908874
116	120126	906598
117	121205	905958
118	122160	904398
119	123210	903540
120	124235	902501
121	125353	902133
122	126388	901160
123	127431	900241
124	128399	898793
125	129411	897664
126	130430	896577
127	131425	895338
128	132405	893993
129	133335	892322
130	134386	891463
131	135569	891473
132	136695	891092
133	137651	889601
134	138746	889006
135	139762	887902
136	141005	888230
137	142101	887620
138	143333	887844
139	144313	886499
140	145500	886416
141	146627	885957
142	147670	884990
143	148803	884556
144	149787	883229
145	150882	882561
146	151938	881659
147	153008	880835
148	154106	880168
149	155119	879008
150	156072	877519
